"LINKID","LINK","RECURSES"
1,"hypernym",1
2,"hyponym",1
3,"instance hypernym",1
4,"instance hyponym",1
11,"part holonym",1
12,"part meronym",1
13,"member holonym",1
14,"member meronym",1
15,"substance holonym",1
16,"substance meronym",1
21,"entail",1
23,"cause",1
30,"antonym",0
40,"similar",0
50,"also",0
60,"attribute",0
70,"verb group",0
71,"participle",0
80,"pertainym",0
81,"derivation",0
91,"domain category",0
92,"domain member category",0
93,"domain region",0
94,"domain member region",0
95,"domain usage",0
96,"domain member usage",0
97,"domain",0
98,"member",0
